# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Product,Units_Sold,Unit_Price,Total_Revenue
2025-06-01,Pencil,52,5,260
2025-06-01,Pen,43,10,430
2025-06-01,Notebook,31,25,775
2025-06-01,Eraser,39,4,156
2025-06-01,Marker,19,15,285
2025-06-01,Highlighter,15,18,270
2025-06-01,Ruler,18,12,216
2025-06-01,Sharpener,20,8,160
2025-06-01,Stapler,4,60,240
2025-06-01,Glue Stick,9,20,180
2025-06-01,Drawing Sheet Pack,6,40,240
2025-06-01,Geometry Box,4,120,480
2025-06-02,Pencil,75,5,375
2025-06-02,Pen,47,10,470
2025-06-02,Notebook,31,25,775
2025-06-02,Eraser,44,4,176
2025-06-02,Marker,25,15,375
2025-06-02,Highlighter,25,18,450
2025-06-02,Ruler,19,12,228
2025-06-02,Sharpener,21,8,168
2025-06-02,Stapler,9,60,540
2025-06-02,Glue Stick,12,20,240
2025-06-02,Drawing Sheet Pack,10,40,400
2025-06-02,Geometry Box,5,120,600
2025-06-03,Pencil,66,5,330
2025-06-03,Pen,67,10,670
2025-06-03,Notebook,35,25,875
2025-06-03,Eraser,51,4,204
2025-06-03,Marker,27,15,405
2025-06-03,Highlighter,23,18,414
2025-06-03,Ruler,20,12,240
2025-06-03,Sharpener,34,8,272
2025-06-03,Stapler,7,60,420
2025-06-03,Glue Stick,10,20,200
2025-06-03,Drawing Sheet Pack,11,40,440
2025-06-03,Geometry Box,5,120,600
2025-06-04,Pencil,74,5,370
2025-06-04,Pen,47,10,470
2025-06-04,Notebook,34,25,850
2025-06-04,Eraser,49,4,196
2025-06-04,Marker,33,15,495
2025-06-04,Highlighter,25,18,450
2025-06-04,Ruler,21,12,252
2025-06-04,Sharpener,25,8,200
2025-06-04,Stapler,6,60,360
2025-06-04,Glue Stick,11,20,220
2025-06-04,Drawing Sheet Pack,9,40,360
2025-06-04,Geometry Box,7,120,840
2025-06-05,Pencil,76,5,380
2025-06-05,Pen,49,10,490
2025-06-05,Notebook,44,25,1100
2025-06-05,Eraser,45,4,180
2025-06-05,Marker,27,15,405
2025-06-05,Highlighter,26,18,468
2025-06-05,Ruler,25,12,300
2025-06-05,Sharpener,30,8,240
2025-06-05,Stapler,6,60,360
2025-06-05,Glue Stick,11,20,220
2025-06-05,Drawing Sheet Pack,10,40,400
2025-06-05,Geometry Box,7,120,840
2025-06-06,Pencil,67,5,335
2025-06-06,Pen,64,10,640
2025-06-06,Notebook,35,25,875
2025-06-06,Eraser,39,4,156
2025-06-06,Marker,34,15,510
2025-06-06,Highlighter,29,18,522
2025-06-06,Ruler,21,12,252
2025-06-06,Sharpener,30,8,240
2025-06-06,Stapler,8,60,480
2025-06-06,Glue Stick,11,20,220
2025-06-06,Drawing Sheet Pack,10,40,400
2025-06-06,Geometry Box,7,120,840
2025-06-07,Pencil,48,5,240
2025-06-07,Pen,54,10,540
2025-06-07,Notebook,17,25,425
2025-06-07,Eraser,36,4,144
2025-06-07,Marker,20,15,300
2025-06-07,Highlighter,15,18,270
2025-06-07,Ruler,15,12,180
2025-06-07,Sharpener,12,8,96
2025-06-07,Stapler,5,60,300
2025-06-07,Glue Stick,8,20,160
2025-06-07,Drawing Sheet Pack,8,40,320
2025-06-07,Geometry Box,4,120,480
2025-06-08,Pencil,42,5,210
2025-06-08,Pen,41,10,410
2025-06-08,Notebook,32,25,800
2025-06-08,Eraser,34,4,136
2025-06-08,Marker,18,15,270
2025-06-08,Highlighter,17,18,306
2025-06-08,Ruler,15,12,180
2025-06-08,Sharpener,20,8,160
2025-06-08,Stapler,4,60,240
2025-06-08,Glue Stick,8,20,160
2025-06-08,Drawing Sheet Pack,6,40,240
2025-06-08,Geometry Box,3,120,360
2025-06-09,Pencil,75,5,375
2025-06-09,Pen,69,10,690
2025-06-09,Notebook,42,25,1050
2025-06-09,Eraser,46,4,184
2025-06-09,Marker,24,15,360
2025-06-09,Highlighter,22,18,396
2025-06-09,Ruler,20,12,240
2025-06-09,Sharpener,23,8,184
2025-06-09,Stapler,7,60,420
2025-06-09,Glue Stick,13,20,260
2025-06-09,Drawing Sheet Pack,12,40,480
2025-06-09,Geometry Box,6,120,720
2025-06-10,Pencil,75,5,375
2025-06-10,Pen,65,10,650
2025-06-10,Notebook,30,25,750
2025-06-10,Eraser,48,4,192
2025-06-10,Marker,30,15,450
2025-06-10,Highlighter,33,18,594
2025-06-10,Ruler,21,12,252
2025-06-10,Sharpener,28,8,224
2025-06-10,Stapler,7,60,420
2025-06-10,Glue Stick,10,20,200
2025-06-10,Drawing Sheet Pack,11,40,440
2025-06-10,Geometry Box,7,120,840
2025-06-11,Pencil,81,5,405
2025-06-11,Pen,57,10,570
2025-06-11,Notebook,51,25,1275
2025-06-11,Eraser,38,4,152
